bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 28-06-2023 03:40:23
*B0 B1 0000001DB0 28-06-2023 04:40:23
*B0 B1 0000001DB0 28-06-2023 05:40:23
*B0 B1 0000001DB0 28-06-2023 06:40:24
*B0 B1 0000001DB0 28-06-2023 09:40:24
*B0 B1 0000001DB0 28-06-2023 10:40:25
*B0 B1 0000001DB0 28-06-2023 11:40:25
*B0 B1 0000001DB0 28-06-2023 12:40:25
*B0 B1 0000001DB0 28-06-2023 13:40:25
*B0 B1 0000001DB0 28-06-2023 14:40:25
*B0 B1 0000001DB0 28-06-2023 15:40:26
*B0 B1 0000001DB0 28-06-2023 16:40:26
*B0 B1 0000001DB0 28-06-2023 17:40:26
*B0 B1 0000001DB0 28-06-2023 18:40:26
*B0 B1 0000001DB0 28-06-2023 19:40:26
*B0 B1 0000001DB0 28-06-2023 20:40:26
*B0 B1 0000001DB0 28-06-2023 21:40:27
*B0 B1 0000001DB0 28-06-2023 22:40:27
*B0 B1 0000001DB0 28-06-2023 23:40:27
*B0 B1 0000001DB0 29-06-2023 00:40:28
*B0 B1 0000001DB0 29-06-2023 01:40:28
*B0 B1 0000001DB0 29-06-2023 02:40:28
*B0 B1 0000001DB0 29-06-2023 03:40:28
*B0 B1 0000001DB0 29-06-2023 04:40:29
*B0 B1 0000001DB0 29-06-2023 05:40:29
*B0 B1 0000001DB0 29-06-2023 06:40:29
*B0 B1 0000001DB0 29-06-2023 07:40:29
*B0 B1 0000001DB0 29-06-2023 08:40:30
*B0 B1 0000001DB0 29-06-2023 09:40:30
*B0 B1 0000001DB0 29-06-2023 10:40:30
*B0 B1 0000001DB0 29-06-2023 11:40:30
*B0 B1 0000001DB0 29-06-2023 12:40:30
*B0 B1 0000001DB0 29-06-2023 13:40:31
*B0 B1 0000001DB0 29-06-2023 14:40:31
*B0 B1 0000001DB0 29-06-2023 15:40:31
*B0 B1 0000001DB0 29-06-2023 16:40:31
*B0 B1 0000001DB0 29-06-2023 17:40:31
*B0 B1 0000001DB0 29-06-2023 18:40:31
*B0 B1 0000001DB0 29-06-2023 19:40:32
*B0 B1 0000001DB0 29-06-2023 20:40:32
*B0 B1 0000001DB0 29-06-2023 21:40:32
*B0 B1 0000001DB0 29-06-2023 22:40:32
*B0 B1 0000001DB0 29-06-2023 23:40:33
*B0 B1 0000001DB0 30-06-2023 01:40:33
*B0 B1 0000001DB0 30-06-2023 02:40:33
*B0 B1 0000001DB0 30-06-2023 03:40:34
*B0 B1 0000001DB0 30-06-2023 04:40:34
*B0 B1 0000001DB0 30-06-2023 05:40:34
*B0 B1 0000001DB0 30-06-2023 06:40:35
*B0 B1 0000001DB0 30-06-2023 07:40:35
*B0 B1 0000001DB0 30-06-2023 08:40:35
